question,target,answer,is_tenten,author,,date
mình có thể liên lạc qua điện thoại để kiểm tra tên miền của mình không bạn?,ban_kiem_tra_ho_minh_ten_mien,Để liên hệ kinh doanh vui lòng gọi điện thoại đến số: 024.7108.9999 (bấm phím 3) hoặc email: info@tenten.vn (giờ hành chính).\nĐể liên hệ kỹ thuật vui lòng gọi điện thoại đến số: 024.73020.555 hoặc email: kythuat@tenten.vn (24/7).\nHoặc chọn phần livechat: Gặp nhân viên kinh doanh,,Tunghv,,10/12/2018
mình không biết kiểm tra tên miền ở đâu bạn có thể hỗ trợ mình được không?,ban_kiem_tra_ho_minh_ten_mien,Để liên hệ kinh doanh vui lòng gọi điện thoại đến số: 024.7108.9999 (bấm phím 3) hoặc email: info@tenten.vn (giờ hành chính).\nĐể liên hệ kỹ thuật vui lòng gọi điện thoại đến số: 024.73020.555 hoặc email: kythuat@tenten.vn (24/7).\nHoặc chọn phần livechat: Gặp nhân viên kinh doanh,,Tunghv,,10/12/2018
bạn ơi! vào đâu để kiểm tra xem mình đã đăng ký hay chưa nhỉ!,ban_kiem_tra_ho_minh_ten_mien,Để liên hệ kinh doanh vui lòng gọi điện thoại đến số: 024.7108.9999 (bấm phím 3) hoặc email: info@tenten.vn (giờ hành chính).\nĐể liên hệ kỹ thuật vui lòng gọi điện thoại đến số: 024.73020.555 hoặc email: kythuat@tenten.vn (24/7).\nHoặc chọn phần livechat: Gặp nhân viên kinh doanh,,Tunghv,,10/12/2018
bạn kiểm tra tên miền giúp mình với!,ban_kiem_tra_ho_minh_ten_mien,Để liên hệ kinh doanh vui lòng gọi điện thoại đến số: 024.7108.9999 (bấm phím 3) hoặc email: info@tenten.vn (giờ hành chính).\nĐể liên hệ kỹ thuật vui lòng gọi điện thoại đến số: 024.73020.555 hoặc email: kythuat@tenten.vn (24/7).\nHoặc chọn phần livechat: Gặp nhân viên kinh doanh,,Tunghv,,10/12/2018
bạn kiểm tra hộ mình tên miền,ban_kiem_tra_ho_minh_ten_mien,Để liên hệ kinh doanh vui lòng gọi điện thoại đến số: 024.7108.9999 (bấm phím 3) hoặc email: info@tenten.vn (giờ hành chính).\nĐể liên hệ kỹ thuật vui lòng gọi điện thoại đến số: 024.73020.555 hoặc email: kythuat@tenten.vn (24/7).\nHoặc chọn phần livechat: Gặp nhân viên kinh doanh,1,Tunghv,,10/12/2018
"mình đang gặp vấn đề về tên miền, bạn kiểm tra giúp mình",ban_kiem_tra_ho_minh_ten_mien,Để liên hệ kinh doanh vui lòng gọi điện thoại đến số: 024.7108.9999 (bấm phím 3) hoặc email: info@tenten.vn (giờ hành chính).\nĐể liên hệ kỹ thuật vui lòng gọi điện thoại đến số: 024.73020.555 hoặc email: kythuat@tenten.vn (24/7).\nHoặc chọn phần livechat: Gặp nhân viên kinh doanh,,Tunghv,,10/12/2018
bạn kiểm tra tên miền của mình với,ban_kiem_tra_ho_minh_ten_mien,Để liên hệ kinh doanh vui lòng gọi điện thoại đến số: 024.7108.9999 (bấm phím 3) hoặc email: info@tenten.vn (giờ hành chính).\nĐể liên hệ kỹ thuật vui lòng gọi điện thoại đến số: 024.73020.555 hoặc email: kythuat@tenten.vn (24/7).\nHoặc chọn phần livechat: Gặp nhân viên kinh doanh,,Tunghv,,10/12/2018
tên miền mình bị khóa?,ban_kiem_tra_ho_minh_ten_mien,Để liên hệ kinh doanh vui lòng gọi điện thoại đến số: 024.7108.9999 (bấm phím 3) hoặc email: info@tenten.vn (giờ hành chính).\nĐể liên hệ kỹ thuật vui lòng gọi điện thoại đến số: 024.73020.555 hoặc email: kythuat@tenten.vn (24/7).\nHoặc chọn phần livechat: Gặp nhân viên kinh doanh,,Tunghv,,10/12/2018
bạn là robot phiên bản bao nhiêu thế?,ban_ten_gi,Tôi là Robot Chat TENTEN version Beta v.01 :)\nRất vui làm quen với bạn.,,Tunghv,,10/12/2018
bạn là robot à,ban_ten_gi,Tôi là Robot Chat TENTEN version Beta v.01 :)\nRất vui làm quen với bạn.,,Tunghv,,10/12/2018
bạn là robot phải không,ban_ten_gi,Tôi là Robot Chat TENTEN version Beta v.01 :)\nRất vui làm quen với bạn.,,Manhbv,,
bạn là ai,ban_ten_gi,Tôi là Robot Chat TENTEN version Beta v.01 :)\nRất vui làm quen với bạn.,,Tunghv,,10/12/2018
tên bạn là gì,ban_ten_gi,Tôi là Robot Chat TENTEN version Beta v.01 :)\nRất vui làm quen với bạn.,,Tunghv,,10/12/2018
bạn tên gì?,ban_ten_gi,Tôi là Robot Chat TENTEN version Beta v.01 :)\nRất vui làm quen với bạn.,1,Tunghv,,10/12/2018
Tại sao cần băng thông lớn?,bang_thong_la_gi_tai_sao_can_chon_hosting_co_bang_thong_lon,"Băng thông của Web Hosting là thông số chỉ dung lượng thông tin tối đa mà website của bạn được lưu chuyển qua lại mỗi tháng.\n \nVD: Nếu một khách vào xem trang web của bạn thì băng thông tiêu tốn là 2MB/trang, khách xem trung bình 5 trang thì tiêu tốn 10MB băng thông. Vì vậy, nếu băng thông 20GB/tháng thì số lượt truy cập tối đa mà website của bạn có thể phục vụ mỗi tháng khoảng 2000...\n<a href=""https://tenten.vn/faq/169-bang-thong-la-gi-tai-sao-can-cho-n-hosting-co-bang-thong-lon"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/169-bang-thong-la-gi-tai-sao-can-cho-n-hosting-co-bang-thong-lon</a>",1,MinhTH,,11/12/2018
Băng thông là gì?,bang_thong_la_gi_tai_sao_can_chon_hosting_co_bang_thong_lon,"Băng thông của Web Hosting là thông số chỉ dung lượng thông tin tối đa mà website của bạn được lưu chuyển qua lại mỗi tháng.\n \nVD: Nếu một khách vào xem trang web của bạn thì băng thông tiêu tốn là 2MB/trang, khách xem trung bình 5 trang thì tiêu tốn 10MB băng thông. Vì vậy, nếu băng thông 20GB/tháng thì số lượt truy cập tối đa mà website của bạn có thể phục vụ mỗi tháng khoảng 2000...\n<a href=""https://tenten.vn/faq/169-bang-thong-la-gi-tai-sao-can-cho-n-hosting-co-bang-thong-lon"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/169-bang-thong-la-gi-tai-sao-can-cho-n-hosting-co-bang-thong-lon</a>",1,MinhTH,,11/12/2018
định nghĩa băng thông,bang_thong_la_gi_tai_sao_can_chon_hosting_co_bang_thong_lon,"Băng thông của Web Hosting là thông số chỉ dung lượng thông tin tối đa mà website của bạn được lưu chuyển qua lại mỗi tháng.\n \nVD: Nếu một khách vào xem trang web của bạn thì băng thông tiêu tốn là 2MB/trang, khách xem trung bình 5 trang thì tiêu tốn 10MB băng thông. Vì vậy, nếu băng thông 20GB/tháng thì số lượt truy cập tối đa mà website của bạn có thể phục vụ mỗi tháng khoảng 2000...\n<a href=""https://tenten.vn/faq/169-bang-thong-la-gi-tai-sao-can-cho-n-hosting-co-bang-thong-lon"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/169-bang-thong-la-gi-tai-sao-can-cho-n-hosting-co-bang-thong-lon</a>",,MinhTH,,11/12/2018
vì sao cần chọn hosting có băng thông lớn,bang_thong_la_gi_tai_sao_can_chon_hosting_co_bang_thong_lon,"Băng thông của Web Hosting là thông số chỉ dung lượng thông tin tối đa mà website của bạn được lưu chuyển qua lại mỗi tháng.\n \nVD: Nếu một khách vào xem trang web của bạn thì băng thông tiêu tốn là 2MB/trang, khách xem trung bình 5 trang thì tiêu tốn 10MB băng thông. Vì vậy, nếu băng thông 20GB/tháng thì số lượt truy cập tối đa mà website của bạn có thể phục vụ mỗi tháng khoảng 2000...\n<a href=""https://tenten.vn/faq/169-bang-thong-la-gi-tai-sao-can-cho-n-hosting-co-bang-thong-lon"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/169-bang-thong-la-gi-tai-sao-can-cho-n-hosting-co-bang-thong-lon</a>",,MinhTH,,11/12/2018
ưu điểm của việc chọn băng thông lớn,bang_thong_la_gi_tai_sao_can_chon_hosting_co_bang_thong_lon,"Băng thông của Web Hosting là thông số chỉ dung lượng thông tin tối đa mà website của bạn được lưu chuyển qua lại mỗi tháng.\n \nVD: Nếu một khách vào xem trang web của bạn thì băng thông tiêu tốn là 2MB/trang, khách xem trung bình 5 trang thì tiêu tốn 10MB băng thông. Vì vậy, nếu băng thông 20GB/tháng thì số lượt truy cập tối đa mà website của bạn có thể phục vụ mỗi tháng khoảng 2000...\n<a href=""https://tenten.vn/faq/169-bang-thong-la-gi-tai-sao-can-cho-n-hosting-co-bang-thong-lon"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/169-bang-thong-la-gi-tai-sao-can-cho-n-hosting-co-bang-thong-lon</a>",,MinhTH,,11/12/2018
Có bao nhiêu người sử dụng ở trong Server ?,bao_nhieu_nguoi_su_dung_server,"Chúng tôi xin phép không công khai về số lượng người sử dụng trong Server.\n<a href=""https://tenten.vn/faq/100-co-bao-nhieu-nguoi-su-dung-o-trong-server"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/100-co-bao-nhieu-nguoi-su-dung-",1,Manh,,
Bao nhiêu người sử dụng Server ?,bao_nhieu_nguoi_su_dung_server,"Chúng tôi xin phép không công khai về số lượng người sử dụng trong Server.\n<a href=""https://tenten.vn/faq/100-co-bao-nhieu-nguoi-su-dung-o-trong-server"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/100-co-bao-nhieu-nguoi-su-dung-",,Manh,,
bao nhiêu người đang cùng sử dụng server,bao_nhieu_nguoi_su_dung_server,"Chúng tôi xin phép không công khai về số lượng người sử dụng trong Server.\n<a href=""https://tenten.vn/faq/100-co-bao-nhieu-nguoi-su-dung-o-trong-server"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/100-co-bao-nhieu-nguoi-su-dung-",,Manh,,
server này đang có bao nhiêu người cùng sử dụng,bao_nhieu_nguoi_su_dung_server,"Chúng tôi xin phép không công khai về số lượng người sử dụng trong Server.\n<a href=""https://tenten.vn/faq/100-co-bao-nhieu-nguoi-su-dung-o-trong-server"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/100-co-bao-nhieu-nguoi-su-dung-",,Manh,,
buy domain,buy_domain_en,"First, you need to create an account at TenTen.vn.\nSecond, you enter the domain name to register.\nThird, you need to pay money to TenTen.vn via Paypal.\nPlease send an email to <a href=""mailto:info@tenten.vn"">info@tenten.vn</a> or contact to hotline; 024.7108.9999 , TenTen.vn will support you quickly.",1,MinhTH,,10/12/2018
I want to buy a domain,buy_domain_en,"First, you need to create an account at TenTen.vn.\nSecond, you enter the domain name to register.\nThird, you need to pay money to TenTen.vn via Paypal.\nPlease send an email to <a href=""mailto:info@tenten.vn"">info@tenten.vn</a> or contact to hotline; 024.7108.9999 , TenTen.vn will support you quickly.",,MinhTH,,10/12/2018
how to buy a domain?,buy_domain_en,"First, you need to create an account at TenTen.vn.\nSecond, you enter the domain name to register.\nThird, you need to pay money to TenTen.vn via Paypal.\nPlease send an email to <a href=""mailto:info@tenten.vn"">info@tenten.vn</a> or contact to hotline; 024.7108.9999 , TenTen.vn will support you quickly.",,MinhTH,,10/12/2018
register a domain,buy_domain_en,"First, you need to create an account at TenTen.vn.\nSecond, you enter the domain name to register.\nThird, you need to pay money to TenTen.vn via Paypal.\nPlease send an email to <a href=""mailto:info@tenten.vn"">info@tenten.vn</a> or contact to hotline; 024.7108.9999 , TenTen.vn will support you quickly.",,MinhTH,,10/12/2018
I want a domain,buy_domain_en,"First, you need to create an account at TenTen.vn.\nSecond, you enter the domain name to register.\nThird, you need to pay money to TenTen.vn via Paypal.\nPlease send an email to <a href=""mailto:info@tenten.vn"">info@tenten.vn</a> or contact to hotline; 024.7108.9999 , TenTen.vn will support you quickly.",,MinhTH,,10/12/2018
I want a domain for my website,buy_domain_en,"First, you need to create an account at TenTen.vn.\nSecond, you enter the domain name to register.\nThird, you need to pay money to TenTen.vn via Paypal.\nPlease send an email to <a href=""mailto:info@tenten.vn"">info@tenten.vn</a> or contact to hotline; 024.7108.9999 , TenTen.vn will support you quickly.",,MinhTH,,10/12/2018
Các bước đăng ký SSL,cac_buoc_dang_ky_ssl,Quý khách vui lòng thực hiện các bước sau: Bước 1:Quý khách tạo 1 email Admin (1 email trong các email dưới đây) để trả lời email xác nhận SSL đăng ký do Hãng Globalsign gửi: admin@/administration@/hostmaster@/webmaster@/postmaster@abc.com\nBước 2: Quý khách gửi các thông tin đăng ký: https://tenten.vn/faq/145-cac-buoc-dang-ky-ssl ,1,MinhTH,,11/12/2018
Tôi đăng ký SSL cho tên miền thì cần làm những bước gì?,cac_buoc_dang_ky_ssl,Quý khách vui lòng thực hiện các bước sau: Bước 1:Quý khách tạo 1 email Admin (1 email trong các email dưới đây) để trả lời email xác nhận SSL đăng ký do Hãng Globalsign gửi: admin@/administration@/hostmaster@/webmaster@/postmaster@abc.com\nBước 2: Quý khách gửi các thông tin đăng ký: https://tenten.vn/faq/145-cac-buoc-dang-ky-ssl ,,MinhTH,,11/12/2018
cần hướng dẫn đăng ký ssl,cac_buoc_dang_ky_ssl,Quý khách vui lòng thực hiện các bước sau: Bước 1:Quý khách tạo 1 email Admin (1 email trong các email dưới đây) để trả lời email xác nhận SSL đăng ký do Hãng Globalsign gửi: admin@/administration@/hostmaster@/webmaster@/postmaster@abc.com\nBước 2: Quý khách gửi các thông tin đăng ký: https://tenten.vn/faq/145-cac-buoc-dang-ky-ssl ,,MinhTH,,11/12/2018
đăng ký ssl như thế nào,cac_buoc_dang_ky_ssl,Quý khách vui lòng thực hiện các bước sau: Bước 1:Quý khách tạo 1 email Admin (1 email trong các email dưới đây) để trả lời email xác nhận SSL đăng ký do Hãng Globalsign gửi: admin@/administration@/hostmaster@/webmaster@/postmaster@abc.com\nBước 2: Quý khách gửi các thông tin đăng ký: https://tenten.vn/faq/145-cac-buoc-dang-ky-ssl ,,MinhTH,,11/12/2018
bây giờ tôi muốn đăng ký ssl thì phải làm như thế nào,cac_buoc_dang_ky_ssl,Quý khách vui lòng thực hiện các bước sau: Bước 1:Quý khách tạo 1 email Admin (1 email trong các email dưới đây) để trả lời email xác nhận SSL đăng ký do Hãng Globalsign gửi: admin@/administration@/hostmaster@/webmaster@/postmaster@abc.com\nBước 2: Quý khách gửi các thông tin đăng ký: https://tenten.vn/faq/145-cac-buoc-dang-ky-ssl ,,MinhTH,,
Các gói dịch vụ hiện có của Tenten ?,cac_goi_dich_vu_hien_co_cua_tenten,"Chúng tôi có cung cấp các gói dịch vụ khác nhau tùy theo nhu cầu của khách hàng.\n※Để hiểu rõ hơn quý khách có thể tham khảo <a href = ""https://tenten.vn/Registration/displayVpsPrice/Vps"">tại đây.</a>\n\n<a href=""https://tenten.vn/faq/127-cac-goi-dich-vu-hien-co-cua-tenten"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/127-cac-goi-dich-vu-hien-co-cua-tenten</a>",1,MinhTH,,11/12/2018
các gói dịch vụ bên bạn có gồm những gói nào?,cac_goi_dich_vu_hien_co_cua_tenten,"Chúng tôi có cung cấp các gói dịch vụ khác nhau tùy theo nhu cầu của khách hàng.\n※Để hiểu rõ hơn quý khách có thể tham khảo <a href = ""https://tenten.vn/Registration/displayVpsPrice/Vps"">tại đây.</a>\n\n<a href=""https://tenten.vn/faq/127-cac-goi-dich-vu-hien-co-cua-tenten"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/127-cac-goi-dich-vu-hien-co-cua-tenten</a>",,MinhTH,,11/12/2018
hiện bên mình đang cung cấp các gói dịch vụ nào thế?,cac_goi_dich_vu_hien_co_cua_tenten,"Chúng tôi có cung cấp các gói dịch vụ khác nhau tùy theo nhu cầu của khách hàng.\n※Để hiểu rõ hơn quý khách có thể tham khảo <a href = ""https://tenten.vn/Registration/displayVpsPrice/Vps"">tại đây.</a>\n\n<a href=""https://tenten.vn/faq/127-cac-goi-dich-vu-hien-co-cua-tenten"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/127-cac-goi-dich-vu-hien-co-cua-tenten</a>",,MinhTH,,11/12/2018
hiện tenten đang cung cấp các gói dịch vụ nào,cac_goi_dich_vu_hien_co_cua_tenten,"Chúng tôi có cung cấp các gói dịch vụ khác nhau tùy theo nhu cầu của khách hàng.\n※Để hiểu rõ hơn quý khách có thể tham khảo <a href = ""https://tenten.vn/Registration/displayVpsPrice/Vps"">tại đây.</a>\n\n<a href=""https://tenten.vn/faq/127-cac-goi-dich-vu-hien-co-cua-tenten"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/127-cac-goi-dich-vu-hien-co-cua-tenten</a>",,Manh,,
các dịch vụ mà bên tenten đang cung cấp?,cac_goi_dich_vu_hien_co_cua_tenten,"Chúng tôi có cung cấp các gói dịch vụ khác nhau tùy theo nhu cầu của khách hàng.\n※Để hiểu rõ hơn quý khách có thể tham khảo <a href = ""https://tenten.vn/Registration/displayVpsPrice/Vps"">tại đây.</a>\n\n<a href=""https://tenten.vn/faq/127-cac-goi-dich-vu-hien-co-cua-tenten"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/127-cac-goi-dich-vu-hien-co-cua-tenten</a>",,Manh,,
các gói dịch vụ mà tenten có là gì,cac_goi_dich_vu_hien_co_cua_tenten,"Chúng tôi có cung cấp các gói dịch vụ khác nhau tùy theo nhu cầu của khách hàng.\n※Để hiểu rõ hơn quý khách có thể tham khảo <a href = ""https://tenten.vn/Registration/displayVpsPrice/Vps"">tại đây.</a>\n\n<a href=""https://tenten.vn/faq/127-cac-goi-dich-vu-hien-co-cua-tenten"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/127-cac-goi-dich-vu-hien-co-cua-tenten</a>",,Manh,,
các gói dịch vụ của tenten,cac_goi_dich_vu_hien_co_cua_tenten,"Chúng tôi có cung cấp các gói dịch vụ khác nhau tùy theo nhu cầu của khách hàng.\n※Để hiểu rõ hơn quý khách có thể tham khảo <a href = ""https://tenten.vn/Registration/displayVpsPrice/Vps"">tại đây.</a>\n\n<a href=""https://tenten.vn/faq/127-cac-goi-dich-vu-hien-co-cua-tenten"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/127-cac-goi-dich-vu-hien-co-cua-tenten</a>",,Manh,,
bên tenten cung cấp các gói dịch vụ gì,cac_goi_dich_vu_hien_co_cua_tenten,"Chúng tôi có cung cấp các gói dịch vụ khác nhau tùy theo nhu cầu của khách hàng.\n※Để hiểu rõ hơn quý khách có thể tham khảo <a href = ""https://tenten.vn/Registration/displayVpsPrice/Vps"">tại đây.</a>\n\n<a href=""https://tenten.vn/faq/127-cac-goi-dich-vu-hien-co-cua-tenten"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/127-cac-goi-dich-vu-hien-co-cua-tenten</a>",,Manh,,
tenten còn cung cấp thêm về dịch vụ gì nữa ạ?,cac_goi_dich_vu_hien_co_cua_tenten,"TenTen cung cấp các dịch vụ: Tên miền, Share Hosting, Cloud VPS, Email server, SSL ...",,Tunghv,,10/12/2018
bên tenten có cung cấp gói dịch vụ làm website không bạn,cac_goi_dich_vu_hien_co_cua_tenten,"TenTen cung cấp các dịch vụ: Tên miền, Share Hosting, Cloud VPS, Email server, SSL ...",,Tunghv,,10/12/2018
"mình đang cần sử dụng gói dịch vụ email service, tenten có cung cấp dịch vụ này không ạ",cac_goi_dich_vu_hien_co_cua_tenten,"TenTen cung cấp các dịch vụ: Tên miền, Share Hosting, Cloud VPS, Email server, SSL ...",,Tunghv,,10/12/2018
bên tenten có cung cấp gói dịch vụ Share Hosting không bạn?,cac_goi_dich_vu_hien_co_cua_tenten,"TenTen cung cấp các dịch vụ: Tên miền, Share Hosting, Cloud VPS, Email server, SSL ...",,Tunghv,,10/12/2018
cho anh biết những dịch vụ bên tenten,cac_goi_dich_vu_hien_co_cua_tenten,"TenTen cung cấp các dịch vụ: Tên miền, Share Hosting, Cloud VPS, Email server, SSL ...",1,Tunghv,,10/12/2018
cho mình biết thông tin về các dịch vụ các bạn,cac_goi_dich_vu_hien_co_cua_tenten,"TenTen cung cấp các dịch vụ: Tên miền, Share Hosting, Cloud VPS, Email server, SSL ... ",1,Minhth,,11/12/2018
